time,hex,lat,lon,altitude,squawk,callsign,vspeed,track,groundspeed,tas,qnh,mcp_alt,precision,gps_altitude,oat
04:08:14Z.773,4ca9bf,29.631477,34.426629,27400,7327,,1024,340.5,397,430,1013,32000,4,,-30
04:08:14Z.833,4ca9bf,29.631477,34.426629,27400,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.192,4ca9bf,29.631477,34.426629,27400,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.234,4ca9bf,29.631477,34.426629,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.323,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.573,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.664,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.686,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.691,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.697,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:15Z.792,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.134,4ca9bf,29.632455,34.426252,27400,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.173,4ca9bf,29.632455,34.426252,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.194,4ca9bf,29.633972,34.425659,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.604,4ca9bf,29.633972,34.425659,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.684,4ca9bf,29.634796,34.425289,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:16Z.713,4ca9bf,29.634796,34.425289,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.034,4ca9bf,29.634796,34.425289,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.224,4ca9bf,29.63576,34.424905,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.454,4ca9bf,29.63576,34.424905,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.478,4ca9bf,29.63576,34.424905,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.704,4ca9bf,29.636598,34.424582,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.723,4ca9bf,29.636598,34.424582,27425,7327,KGL9268,960,340.5,397,430,1013,32000,4,,-30
04:08:17Z.884,4ca9bf,29.636598,34.424582,27425,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.173,4ca9bf,29.636598,34.424582,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.274,4ca9bf,29.637589,34.42418,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.284,4ca9bf,29.637589,34.42418,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.644,4ca9bf,29.637589,34.42418,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.684,4ca9bf,29.638275,34.423863,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:18Z.874,4ca9bf,29.638275,34.423863,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:19Z.124,4ca9bf,29.639065,34.423559,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:19Z.454,4ca9bf,29.639065,34.423559,27450,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:19Z.554,4ca9bf,29.63981,34.42329,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:19Z.665,4ca9bf,29.63981,34.42329,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:19Z.734,4ca9bf,29.63981,34.42329,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.034,4ca9bf,29.64061,34.422913,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.044,4ca9bf,29.64061,34.422913,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.184,4ca9bf,29.64061,34.422913,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.494,4ca9bf,29.64061,34.422913,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.544,4ca9bf,29.641525,34.422543,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:20Z.904,4ca9bf,29.641525,34.422543,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:21Z.004,4ca9bf,29.641525,34.422543,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:25Z.624,4ca9bf,29.641525,34.422543,27475,7327,KGL9268,896,340.5,397,430,1013,32000,4,,-30
04:08:26Z.194,4ca9bf,29.641525,34.422543,27475,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:26Z.344,4ca9bf,29.651596,34.418476,27550,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:26Z.616,4ca9bf,29.651596,34.418476,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:26Z.674,4ca9bf,29.651596,34.418476,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:26Z.744,4ca9bf,29.652332,34.418173,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:26Z.775,4ca9bf,29.652332,34.418173,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.094,4ca9bf,29.652332,34.418173,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.159,4ca9bf,29.652332,34.418173,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.254,4ca9bf,29.653217,34.417796,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.596,4ca9bf,29.653217,34.417796,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.604,4ca9bf,29.653217,34.417796,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.607,4ca9bf,29.653217,34.417796,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.655,4ca9bf,29.653915,34.417527,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:27Z.665,4ca9bf,29.653915,34.417527,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:28Z.125,4ca9bf,29.653915,34.417527,27575,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:28Z.173,4ca9bf,29.653915,34.417527,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:28Z.595,4ca9bf,29.653915,34.417527,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:28Z.615,4ca9bf,29.653915,34.417527,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:28Z.825,4ca9bf,29.655917,34.416719,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:29Z.345,4ca9bf,29.656848,34.416342,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:29Z.495,4ca9bf,29.656848,34.416342,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:29Z.655,4ca9bf,29.656848,34.416342,27600,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:30Z.151,4ca9bf,29.656848,34.416342,27625,7327,KGL9268,832,340.5,397,430,1013,32000,4,,-30
04:08:35Z.535,4ca9bf,29.656848,34.416342,27625,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:36Z.005,4ca9bf,29.668442,34.411609,27700,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:36Z.885,4ca9bf,29.669976,34.410957,27700,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:36Z.905,4ca9bf,29.669976,34.410957,27700,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:37Z.016,4ca9bf,29.669976,34.410957,27700,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:37Z.716,4ca9bf,29.669976,34.410957,27700,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:37Z.776,4ca9bf,29.671555,34.410342,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:37Z.976,4ca9bf,29.671555,34.410342,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:38Z.193,4ca9bf,29.671555,34.410342,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:38Z.856,4ca9bf,29.673421,34.409557,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:39Z.025,4ca9bf,29.673421,34.409557,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:39Z.276,4ca9bf,29.674165,34.409287,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:39Z.796,4ca9bf,29.674165,34.409287,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.026,4ca9bf,29.674165,34.409287,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.125,4ca9bf,29.674165,34.409287,27725,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.191,4ca9bf,29.674165,34.409287,27750,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.216,4ca9bf,29.675812,34.408599,27750,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.545,4ca9bf,29.675812,34.408599,27750,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:40Z.645,4ca9bf,29.676544,34.408282,27750,7327,KGL9268,832,340.5,398,430,1013,32000,4,,-30
04:08:41Z.045,4ca9bf,29.676544,34.408282,27750,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.184,4ca9bf,29.676544,34.408282,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.471,4ca9bf,29.676544,34.408282,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.616,4ca9bf,29.676544,34.408282,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.651,4ca9bf,29.676544,34.408282,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.716,4ca9bf,29.678402,34.407564,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:41Z.785,4ca9bf,29.678402,34.407564,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:42Z.116,4ca9bf,29.678402,34.407564,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:42Z.192,4ca9bf,29.678402,34.407564,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:42Z.236,4ca9bf,29.679337,34.407173,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:43Z.062,4ca9bf,29.679337,34.407173,27775,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:44Z.696,4ca9bf,29.68364,34.40543,27800,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:44Z.826,4ca9bf,29.68364,34.40543,27800,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:45Z.046,4ca9bf,29.68364,34.40543,27800,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:45Z.182,4ca9bf,29.68364,34.40543,27825,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:45Z.256,4ca9bf,29.684593,34.405033,27825,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:46Z.036,4ca9bf,29.684593,34.405033,27825,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:46Z.169,4ca9bf,29.684593,34.405033,27825,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:08:46Z.816,4ca9bf,29.68734,34.403902,27850,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:09:17Z.647,4ca9bf,29.68734,34.403902,28275,7327,KGL9268,832,340.4,399,430,1013,32000,4,,-30
04:09:18Z.369,4ca9bf,,,28275,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:18Z.686,4ca9bf,,,28275,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:18Z.939,4ca9bf,,,28275,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:20Z.010,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:20Z.109,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:20Z.299,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:20Z.970,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:21Z.420,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:23Z.940,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:24Z.510,4ca9bf,,,28300,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:24Z.637,4ca9bf,,,28350,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:24Z.700,4ca9bf,,,28350,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:25Z.160,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:25Z.370,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:25Z.600,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:26Z.230,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:26Z.680,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:26Z.750,4ca9bf,,,28375,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:27Z.000,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:27Z.153,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,430,1013,32000,4,,-30
04:09:27Z.159,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-30
04:09:27Z.164,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-30
04:09:27Z.191,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:27Z.570,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:27Z.623,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:27Z.730,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.130,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.152,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.252,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.530,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
