"station","lat","lon","n_start","n_end"
"Central Park West & W 72 St",40.7757937668367,-73.9762057363987,1560,1461
"Central Park West & W 76 St",40.77896784,-73.97374737,1239,1192
"Central Park West & W 85 St",40.78472675,-73.96961715,2558,2576
"Centre St & Chambers St",40.71273266,-74.0046073,3298,3226
"Centre St & Worth St",40.71494807,-74.00234482,1418,1421
"Cherry St",40.71219906,-73.97948148,702,692
"Christopher St & Greenwich St",40.73291553,-74.00711384,4207,4234
"Clark St & Henry St",40.69760127,-73.99344559,1191,896
"Clermont Ave & Lafayette Ave",40.68764484,-73.96968902,373,291
"Clermont Ave & Park Ave",40.69573398,-73.97129668,324,285
"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,5017,4978
"Cliff St & Fulton St",40.70823502,-74.00530063,1385,1513
"Clinton Ave & Flushing Ave",40.69794,-73.96986848,314,292
"Clinton Ave & Myrtle Ave",40.693261,-73.968896,1093,1059
"Clinton St & Grand St",40.71559509,-73.9870295,1599,1581
"Clinton St & Joralemon St",40.69239502,-73.99337909,732,721
"Clinton St & Tillary St",40.696192,-73.991218,509,507
"Columbia Heights & Cranberry St",40.70037867,-73.99548059,290,212
"Columbia St & Rivington St",40.71739973,-73.98016555,1168,1150
"Columbus Ave & W 72 St",40.7770575,-73.97898475,2163,1948
"Concord St & Bridge St",40.69766564,-73.98476437,388,359
"Cumberland St & Lafayette Ave",40.68753406,-73.97265183,550,487
"Dean St & 4 Ave",40.68312489,-73.97895137,859,1003
"DeKalb Ave & Hudson Ave",40.689888,-73.981013,986,1663
"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,517,431
"DeKalb Ave & Skillman St",40.6906495,-73.95643107,275,235
"DeKalb Ave & Vanderbilt Ave",40.68940747,-73.96885458,593,464
"Devoe St & Leonard St",40.71348658,-73.94792458,340,323
"Division Ave & Hooper St",40.70691254,-73.95441667,226,193
"Division Ave & Marcy Ave",40.70708701,-73.95796783,99,57
"Division St & Bowery",40.71413089,-73.9970468,1762,1886
"Driggs Ave & Lorimer St",40.72179134,-73.9504154,393,338
"Driggs Ave & N Henry St",40.72325,-73.94308,610,553
"Duane St & Greenwich St",40.71748752,-74.0104554,1322,1366
"Duffield St & Willoughby St",40.69221589,-73.9842844,521,537
"E 10 St & 5 Ave",40.73331967,-73.99510132,2374,2413
"E 10 St & Avenue A",40.72740794,-73.98142006,3073,3214
"E 11 St & 1 Ave",40.72953837,-73.98426726,2865,2899
"E 11 St & 2 Ave",40.73047309,-73.98672378,3284,3264
"E 11 St & Broadway",40.73261787,-73.99158043,1877,1833
"E 12 St & 3 Ave",40.73223272,-73.98889957,3420,3424
"E 13 St & Avenue A",40.72955361,-73.98057249,2600,2546
"E 14 St & Avenue B",40.72938685,-73.97772429,3492,2750
"E 15 St & 3 Ave",40.734232,-73.986923,3176,3180
"E 16 St & 5 Ave",40.73726186,-73.99238967,3679,3754
"E 16 St & Irving Pl",40.73524276,-73.98758561,2790,2792
"E 17 St & Broadway",40.73704984,-73.99009296,6105,6760
"E 19 St & 3 Ave",40.73624527,-73.98473765,2103,2085
"E 2 St & 2 Ave",40.72502876,-73.99069656,2161,2267
"E 2 St & Avenue B",40.72217444,-73.98368779,2880,2878
"E 2 St & Avenue C",40.7208736,-73.98085795,1524,1515
"E 20 St & 2 Ave",40.73587678,-73.98205027,3202,3204
"E 20 St & FDR Drive",40.73314259,-73.97573881,2899,2884
"E 20 St & Park Ave",40.73827428,-73.98751968,3487,3525
"E 23 St & 1 Ave",40.736502,-73.97809472,3241,3239
"E 24 St & Park Ave S",40.74096374,-73.98602213,2794,2808
"E 25 St & 1 Ave",40.7381765,-73.97738662,2423,2374
"E 25 St & 2 Ave",40.73912601,-73.97973776,3143,2833
"E 27 St & 1 Ave",40.739445,-73.976806,2111,2128
"E 3 St & 1 Ave",40.72467721,-73.98783413,2817,2817
"E 30 St & Park Ave S",40.74444921,-73.98303529,2890,2795
"E 31 St & 3 Ave",40.74394314,-73.97966069,2485,2496
"E 32 St & Park Ave",40.7457121,-73.98194829,4015,3979
"E 33 St & 2 Ave",40.744023,-73.976056,3614,3605
"E 33 St & 5 Ave",40.74765947,-73.98490707,3056,3045
"E 37 St & Lexington Ave",40.748238,-73.978311,1499,1480
"E 39 St & 2 Ave",40.74780373,-73.9734419,3727,3714
"E 39 St & 3 Ave",40.7489006,-73.97604882,2622,2606
"E 4 St & 2 Ave",40.7262807,-73.98978041,2785,2859
"E 40 St & Madison Ave",40.7515936845111,-73.9804315567017,2682,2699
"E 41 St & Madison Ave",40.752165280622,-73.9799219369888,1354,1357
"E 43 St & 2 Ave",40.75022392,-73.97121414,1255,1199
"E 45 St & 3 Ave",40.75255434,-73.97282625,2086,2096
"E 47 St & 1 Ave",40.75206862,-73.96784384,1123,1135
"E 47 St & 2 Ave",40.75323098,-73.97032517,1873,1884
"E 47 St & Park Ave",40.75510267,-73.97498696,4001,4014
"E 48 St & 3 Ave",40.7546011026,-73.971878855,2012,2085
"E 48 St & 5 Ave",40.7572456791173,-73.978059142828,2814,2782
"E 5 St & Avenue C",40.72299208,-73.97995466,1334,1332
"E 51 St & 1 Ave",40.75455731,-73.96592976,1235,1233
"E 51 St & Lexington Ave",40.75714758,-73.97207836,1887,1915
"E 52 St & 2 Ave",40.756014,-73.967416,1960,1965
"E 53 St & Lexington Ave",40.75828065,-73.97069431,1675,1688
"E 53 St & Madison Ave",40.7597108,-73.97402311,1801,1805
"E 55 St & 2 Ave",40.75797322,-73.96603308,2010,2019
"E 55 St & 3 Ave",40.7589965596051,-73.9686539769173,1798,1806
"E 55 St & Lexington Ave",40.75968085,-73.97031366,1240,1211
"E 56 St & Madison Ave",40.761628,-73.972924,1699,1723
"E 58 St & 3 Ave",40.76095756,-73.96724467,2905,2914
"E 59 St & Madison Ave",40.76350532,-73.97109243,1440,1480
"E 6 St & Avenue B",40.72453734,-73.98185424,2381,2685
"E 6 St & Avenue D",40.72228087,-73.97668709,994,968
"E 60 St & York Ave",40.759107,-73.959223,916,849
"E 67 St & Park Ave",40.7678008014813,-73.9659208059311,1211,1221
"E 7 St & Avenue A",40.72621788,-73.98379855,3620,3029
"E 71 St & 2 Ave",40.7681754674225,-73.9591026306152,427,434
"E 72 St & Park Ave",40.7711828754066,-73.9640942215919,1249,1189
"E 72 St & York Ave",40.76663814,-73.95348296,2359,2334
"E 75 St & 3 Ave",40.77112927,-73.95772297,1276,1267
"E 77 St & 3 Ave",40.77314236,-73.95856158,1053,1060
"E 77 St & Park Ave",40.774405455003,-73.9617526531219,274,287
"E 80 St & 2 Ave",40.7739139023812,-73.9543953537941,473,458
"E 81 St & 3 Ave",40.77573034,-73.9567526,668,641
"E 81 St & Park Ave",40.77677702,-73.9590097,538,505
"E 81 St & York Ave",40.7728384,-73.94989233,991,955
"E 84 St & 1 Ave",40.77565541,-73.95068615,1290,1387
"E 84 St & Park Ave",40.77862688,-73.95772073,2092,2136
"E 85 St & 3 Ave",40.77801203,-73.95407149,2045,2056
"E 85 St & York Ave",40.77536905,-73.94803392,1214,1065
"E 9 St & Avenue C",40.72521311,-73.97768752,1986,2105
"East End Ave & E 86 St",40.77518615,-73.94446054,470,459
"Elizabeth St & Hester St",40.71729,-73.996375,2354,2183
"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,549,468
"FDR Drive & E 35 St",40.744219,-73.97121214,1909,1862
"Forsyth St & Broome St",40.71893904,-73.99266288,2678,2666
"Forsyth St & Canal St",40.7158155,-73.99422366,1707,1706
"Franklin Ave & Myrtle Ave",40.694528,-73.958089,236,209
"Franklin St & Dupont St",40.73564,-73.95866,381,375
"Franklin St & W Broadway",40.71911552,-74.00666661,1579,1728
"Front St & Gold St",40.70224,-73.982578,383,405
