"station","lat","lon","n_start","n_end"
"W 52 St & 5 Ave",40.75992262,-73.97648516,2975,2963
"W 52 St & 9 Ave",40.76461837,-73.98789473,2235,1958
"W 53 St & 10 Ave",40.76669671,-73.99061728,2177,2171
"W 54 St & 9 Ave",40.76584941,-73.98690506,867,805
"W 56 St & 10 Ave",40.768254,-73.988639,2169,2174
"W 56 St & 6 Ave",40.76340613,-73.97722479,3090,3088
"W 59 St & 10 Ave",40.770513,-73.988038,1107,1087
"W 63 St & Broadway",40.77163851,-73.98261428,1859,1855
"W 64 St & West End Ave",40.77452835,-73.98753759,1100,1077
"W 67 St & Broadway",40.77492513,-73.98266566,1834,1826
"W 70 St & Amsterdam Ave",40.77748046,-73.98288594,1604,1569
"W 74 St & Columbus Ave",40.7785669,-73.97754961,889,845
"W 76 St & Columbus Ave",40.7801839724239,-73.9772853255272,1002,986
"W 78 St & Broadway",40.78339981,-73.98093133,1044,1046
"W 82 St & Central Park West",40.78275,-73.97137,847,849
"W 84 St & Broadway",40.7867947,-73.977112,1876,1805
"W 84 St & Columbus Ave",40.78499979,-73.97283406,1241,1087
"W Broadway & Spring St",40.72490985,-74.00154702,2790,3143
"Warren St & Church St",40.71473993,-74.00910627,1315,1413
"Washington Ave & Greene Ave",40.68650065,-73.96563307,352,317
"Washington Ave & Park Ave",40.69610226,-73.96751037,648,632
"Washington Park",40.6917823,-73.9737299,432,362
"Washington Pl & 6 Ave",40.73224119,-74.00026394,1804,1827
"Washington Pl & Broadway",40.72903917,-73.99404649,3235,3249
"Washington St & Gansevoort St",40.739323,-74.008119,3197,3327
"Water - Whitehall Plaza",40.70255065,-74.0127234,1077,1082
"Watts St & Greenwich St",40.72405549,-74.00965965,1978,1972
"West St & Chambers St",40.71754834,-74.01322069,4542,4619
"West Thames St",40.70834698,-74.01713445,2085,2095
"William St & Pine St",40.70717936,-74.00887308,1519,1367
"Willoughby Ave & Hall St",40.69196035,-73.96536851,599,544
"Willoughby Ave & Tompkins Ave",40.69425403,-73.94626915,234,214
"Willoughby Ave & Walworth St",40.69331716,-73.95381995,303,296
"Willoughby St & Fleet St",40.69196566,-73.9813018,709,678
"Wythe Ave & Metropolitan Ave",40.716887,-73.963198,1383,1433
"York St & Jay St",40.7014851,-73.98656928,1364,1500
"E 40 St & 5 Ave",40.774405455003,-73.9617526531219,0,1
"NYCBS Depot - DEL",40.722103786686,-73.997249007225,0,40
"NYCBS Depot - FAR",40.7390169121,-74.0026376103,0,21
"NYCBS Depot - SSP",40.7546011026,-73.971878855,0,17
"NYCBS Depot - STY",40.73781509,-73.99994661,0,6
"Warren St",40.76087502,-74.00277668,0,1
